sample,samplename,Site,Date,Type,Restoration.Age,Bison,Fire,fungi,bacteria,archaea,fungi_initial,bacteria_initial,archaea_initial,age.group,season
3300036397,MU_050217,MU,50217,restoration,30,y,n,236,233917,421,623,236389,561,Old,Spring
3300036585,CCW_080817,CCW,80817,restoration,9,n,n,307,347435,715,507,351541,894,Middle,Summer
3300037350,HF_050217,HF,50217,restoration,4,y,y,819,646363,3190,1381,653404,3510,Young,Spring
3300037392,HF_080817,HF,80817,restoration,4,y,y,1589,670798,631,2442,678417,894,Young,Summer
3300037393,HF_101317,HF,101317,restoration,4,y,y,905,927558,901,1648,937197,1281,Young,Autumn
3300037429,HLP_080817,HLP,80817,restoration,17,y,n,347,451060,802,1120,455995,1105,Middle,Summer
3300037430,HLP_101317,HLP,101317,restoration,17,y,n,1698,501735,890,5602,506486,1150,Middle,Autumn
3300037431,WH_050217,WH,50217,restoration,25,y,y,810,483348,494,2188,487965,680,Old,Spring
3300037432,WH_101317,WH,101317,restoration,25,y,y,3786,469284,581,11565,473435,824,Old,Autumn
3300037445,HN_080817,HN,80817,restoration,5,y,y,2438,493571,538,3334,498512,762,Young,Summer
3300037446,HLP_050217,HLP,50217,restoration,17,y,n,137,398387,671,278,405431,855,Middle,Spring
3300037447,WH_080817,WH,80817,restoration,25,y,y,1253,486904,523,3083,490946,756,Old,Summer
3300037448,MU_080817,MU,80817,restoration,30,y,n,884,601455,1238,2597,608013,1645,Old,Summer
3300037475,HN_050217,HN,50217,restoration,5,y,y,1594,1176190,979,2511,1191283,1368,Young,Spring
3300037476,CCW_050217,CCW,50217,restoration,9,n,n,726,1010143,3445,1343,1023774,4063,Middle,Spring
3300037477,CCW_101317,CCW,101317,restoration,9,n,n,715,1027822,2459,1508,1037788,2996,Middle,Autumn
3300037571,SOY_050217,SOY,50217,agriculture,NA,n,n,145,358740,2937,285,363954,3258,NA,Spring
3300037609,HN_101317,HN,101317,restoration,5,y,y,575,438190,474,1116,442751,636,Young,Autumn
3300037618,MU_101317,MU,101317,restoration,30,y,n,263,381773,876,966,387373,1101,Old,Autumn
3300037864,SOY_080817,SOY,80817,agriculture,NA,n,n,187,266356,4939,295,269054,5120,NA,Summer
3300037865,SOY_101317,SOY,101317,agriculture,NA,n,n,94,344230,3513,227,348063,3840,NA,Autumn
3300037869,AG_101317,AG,101317,agriculture,NA,n,n,156,349876,825,318,353423,1028,NA,Autumn
3300049562,MR_050217,MR,50217,remnant,NA,y,y,232,850683,955,628,857679,1415,NA,Spring
3300049563,TCR_050217,TCR,50217,remnant,NA,n,n,188,814951,5318,454,821834,5742,NA,Spring
3300049564,TCR_080817,TCR,80817,remnant,NA,n,n,393,1106594,4228,1315,1117118,4814,NA,Summer
3300049565,TCR_101317,TCR,101317,remnant,NA,n,n,255,772962,4827,678,778986,5205,NA,Autumn
3300049566,AG_050217,AG,50217,agriculture,NA,n,n,189,537604,2781,375,543111,3179,NA,Spring
3300049567,AG_080817,AG,80817,agriculture,NA,n,n,597,928737,8720,1187,937392,9204,NA,Summer
3300049809,MR_080817,MR,80817,remnant,NA,y,y,720,1206817,1602,1744,1216635,2267,NA,Summer
3300049998,MR_101317,MR,101317,remnant,NA,y,y,248,640392,1785,720,645586,2157,NA,Autumn
